state,value
Alabama,4.1
Alaska,8.2
Arizona,2.3
Arkansas,6
California,2.5
Colorado,3.7
Connecticut,5.7
Delaware,5.1
District of Columbia,4.3
Florida,2.3
Georgia,2.3
Hawaii,2.5
Idaho,2.9
Illinois,4
Indiana,4.3
Iowa,4.5
Kansas,4.1
Kentucky,5.2
Louisiana,3.2
Maine,9.3
Maryland,3.2
Massachusetts,4.9
Michigan,3.5
Minnesota,4.5
Mississippi,6.4
Missouri,3.7
Montana,7.8
Nebraska,4.7
Nevada,1.7
New Hampshire,5.5
New Jersey,3
New Mexico,5.4
New York,3.5
North Carolina,1.8
North Dakota,4.5
Ohio,4.1
Oklahoma,3.2
Oregon,4
Pennsylvania,4.3
Rhode Island,6.4
South Carolina,2.2
South Dakota,9.1
Tennessee,3
Texas,1.3
Utah,3.6
Vermont,12
Virginia,3.4
Washington,2.9
West Virginia,4.3
Wisconsin,4.6
Wyoming,9.8
