state,value
Alabama,18.5
Alaska,10.4
Arizona,17.4
Arkansas,18.7
California,15.4
Colorado,11.5
Connecticut,10.6
Delaware,12.6
District of Columbia,17.7
Florida,15.8
Georgia,17.2
Hawaii,10.7
Idaho,14.7
Illinois,13.6
Indiana,14.4
Iowa,12.1
Kansas,12.9
Kentucky,18.3
Louisiana,19.5
Maine,13.2
Maryland,9.9
Massachusetts,11.5
Michigan,15.7
Minnesota,10.2
Mississippi,22.1
Missouri,14.8
Montana,14.4
Nebraska,12.2
Nevada,14.9
New Hampshire,8.4
New Jersey,10.8
New Mexico,19.8
New York,15.5
North Carolina,16.4
North Dakota,10.7
Ohio,14.8
Oklahoma,16
Oregon,15.2
Pennsylvania,13.1
Rhode Island,14.1
South Carolina,16.8
South Dakota,13.5
Tennessee,16.7
Texas,15.9
Utah,11.2
Vermont,10.4
Virginia,11.2
Washington,12.2
West Virginia,18
Wisconsin,12.1
Wyoming,10.6
