state,value
Alabama,18.9
Alaska,10.1
Arizona,18.6
Arkansas,19.4
California,16.8
Colorado,12.9
Connecticut,10.7
Delaware,12.9
District of Columbia,18.8
Florida,17.1
Georgia,19
Hawaii,11.2
Idaho,15.6
Illinois,14.6
Indiana,15.8
Iowa,12.6
Kansas,13.9
Kentucky,18.8
Louisiana,20
Maine,14
Maryland,10.2
Massachusetts,11.9
Michigan,17
Minnesota,11.2
Mississippi,23.9
Missouri,15.8
Montana,16.1
Nebraska,12.9
Nevada,15.8
New Hampshire,9
New Jersey,11.4
New Mexico,21.4
New York,16
North Carolina,17.8
North Dakota,11.6
Ohio,15.9
Oklahoma,16.7
Oregon,16.5
Pennsylvania,13.7
Rhode Island,14.7
South Carolina,18.5
South Dakota,14
Tennessee,17.8
Texas,17.5
Utah,12.6
Vermont,12.3
Virginia,11.7
Washington,14.1
West Virginia,18.4
Wisconsin,13.5
Wyoming,10.9
