state,value
Alabama,16.6
Alaska,10.9
Arizona,14.2
Arkansas,17.3
California,13.1
Colorado,11.6
Connecticut,8.3
Delaware,10.7
District of Columbia,18.1
Florida,12.6
Georgia,14.8
Hawaii,9.4
Idaho,12.8
Illinois,12.3
Indiana,12.5
Iowa,11
Kansas,12.2
Kentucky,17
Louisiana,19.4
Maine,12.7
Maryland,8
Massachusetts,10
Michigan,13.5
Minnesota,9.7
Mississippi,20.9
Missouri,13.8
Montana,14.4
Nebraska,11.3
Nevada,10.5
New Hampshire,8
New Jersey,8.7
New Mexico,18.3
New York,14.2
North Carolina,14.6
North Dakota,11.7
Ohio,13.2
Oklahoma,16.7
Oregon,13.4
Pennsylvania,12
Rhode Island,11.5
South Carolina,15.7
South Dakota,13.6
Tennessee,16.1
Texas,16.9
Utah,10.7
Vermont,10.2
Virginia,9.6
Washington,11.8
West Virginia,17.6
Wisconsin,10.9
Wyoming,10.3
