state,value
Alabama,15.9
Alaska,9.2
Arizona,14.7
Arkansas,17.3
California,13.3
Colorado,11.2
Connecticut,9.1
Delaware,10.3
District of Columbia,16.9
Florida,13.3
Georgia,14.7
Hawaii,9.3
Idaho,12.5
Illinois,12.2
Indiana,12.9
Iowa,11.4
Kansas,11.3
Kentucky,17.3
Louisiana,17.6
Maine,12.6
Maryland,8.2
Massachusetts,10.1
Michigan,14.4
Minnesota,9.6
Mississippi,20.8
Missouri,13.5
Montana,14.1
Nebraska,10.8
Nevada,11.2
New Hampshire,7.8
New Jersey,8.7
New Mexico,17
New York,13.7
North Carolina,14.6
North Dakota,11.5
Ohio,13.3
Oklahoma,15.7
Oregon,13.5
Pennsylvania,12.1
Rhode Island,12.1
South Carolina,15.7
South Dakota,12.7
Tennessee,15.5
Texas,15.8
Utah,9.7
Vermont,10.4
Virginia,10.2
Washington,11.3
West Virginia,17.4
Wisconsin,10.5
Wyoming,9.5
