state,value
Alabama,16.6
Alaska,9.8
Arizona,14.1
Arkansas,17.6
California,12.4
Colorado,11.5
Connecticut,7.9
Delaware,10.3
District of Columbia,17.1
Florida,12.1
Georgia,14.3
Hawaii,8.5
Idaho,12.1
Illinois,11.9
Indiana,12.3
Iowa,11
Kansas,11.2
Kentucky,17.2
Louisiana,18.8
Maine,12.2
Maryland,8.3
Massachusetts,10
Michigan,13.9
Minnesota,9.5
Mississippi,20.7
Missouri,13.3
Montana,14.1
Nebraska,11.1
Nevada,10.6
New Hampshire,7.3
New Jersey,8.5
New Mexico,17.9
New York,13.8
North Carolina,14.3
North Dakota,11.8
Ohio,13.1
Oklahoma,15.8
Oregon,13
Pennsylvania,11.6
Rhode Island,11.9
South Carolina,15.1
South Dakota,13.2
Tennessee,15.8
Texas,16.3
Utah,9.8
Vermont,10.1
Virginia,9.9
Washington,11.4
West Virginia,17.1
Wisconsin,10.8
Wyoming,9.5
