state,value
Alabama,17.2
Alaska,9.9
Arizona,16.4
Arkansas,17.2
California,14.4
Colorado,11
Connecticut,9.9
Delaware,11.8
District of Columbia,18.5
Florida,14.8
Georgia,16.1
Hawaii,9.5
Idaho,13.8
Illinois,13
Indiana,14
Iowa,11.7
Kansas,12.2
Kentucky,18.2
Louisiana,20.1
Maine,12.3
Maryland,9.7
Massachusetts,10.5
Michigan,14.9
Minnesota,9.9
Mississippi,21
Missouri,14
Montana,13.4
Nebraska,11.3
Nevada,14.1
New Hampshire,7.6
New Jersey,10.4
New Mexico,19.1
New York,14.8
North Carolina,15.4
North Dakota,10.5
Ohio,14.5
Oklahoma,16.1
Oregon,13.4
Pennsylvania,12.9
Rhode Island,13.3
South Carolina,15.3
South Dakota,12.9
Tennessee,15.8
Texas,15.6
Utah,10.2
Vermont,11.3
Virginia,11
Washington,11.3
West Virginia,17.9
Wisconsin,11.8
Wyoming,10.9
