state,value
Alabama,18.9
Alaska,11
Arizona,17.6
Arkansas,18.7
California,15.8
Colorado,13.2
Connecticut,10.1
Delaware,11.9
District of Columbia,18.8
Florida,16.5
Georgia,18
Hawaii,11.1
Idaho,15.8
Illinois,13.8
Indiana,15.3
Iowa,12.5
Kansas,13.5
Kentucky,18.9
Louisiana,18.8
Maine,13.1
Maryland,9.9
Massachusetts,11.4
Michigan,16.7
Minnesota,11.5
Mississippi,22.4
Missouri,15.3
Montana,15.2
Nebraska,12.6
Nevada,14.8
New Hampshire,8.6
New Jersey,10.2
New Mexico,19.8
New York,15
North Carolina,17.4
North Dakota,12.5
Ohio,15.8
Oklahoma,16.8
Oregon,15.8
Pennsylvania,13.4
Rhode Island,14.1
South Carolina,18.1
South Dakota,14.6
Tennessee,17.8
Texas,17.9
Utah,13.3
Vermont,12.4
Virginia,11.1
Washington,13.5
West Virginia,18.2
Wisconsin,13.2
Wyoming,11.4
