state,value
Alabama,17.5
Alaska,9.1
Arizona,16.5
Arkansas,18.5
California,14.2
Colorado,12.6
Connecticut,9.3
Delaware,11.2
District of Columbia,17.6
Florida,15
Georgia,16.6
Hawaii,10.4
Idaho,14.4
Illinois,13.3
Indiana,14.4
Iowa,11.8
Kansas,13.2
Kentucky,18.4
Louisiana,17.6
Maine,12.6
Maryland,9.2
Massachusetts,10.3
Michigan,16.1
Minnesota,10.9
Mississippi,21.8
Missouri,14.6
Montana,15
Nebraska,12.2
Nevada,12.4
New Hampshire,8.6
New Jersey,9.4
New Mexico,18.2
New York,14.2
North Carolina,16.2
North Dakota,11.7
Ohio,15.1
Oklahoma,16.1
Oregon,14.3
Pennsylvania,12.5
Rhode Island,12
South Carolina,17.1
South Dakota,14.2
Tennessee,17.2
Texas,17.1
Utah,11.7
Vermont,11.5
Virginia,10.6
Washington,12.3
West Virginia,17.8
Wisconsin,12.4
Wyoming,10.2
