state,value
Alabama,19.1
Alaska,10.8
Arizona,19
Arkansas,19.3
California,16.6
Colorado,13.4
Connecticut,10.8
Delaware,12.6
District of Columbia,19.1
Florida,17
Georgia,19.2
Hawaii,12.1
Idaho,16.5
Illinois,14.9
Indiana,15.8
Iowa,12.7
Kansas,13.8
Kentucky,19.1
Louisiana,20.5
Maine,14.2
Maryland,10.2
Massachusetts,11.6
Michigan,17.5
Minnesota,11.8
Mississippi,22.8
Missouri,15.8
Montana,15.2
Nebraska,12.9
Nevada,15.8
New Hampshire,9
New Jersey,10.4
New Mexico,20.9
New York,16.1
North Carolina,17.8
North Dakota,12
Ohio,16.3
Oklahoma,17.3
Oregon,17.3
Pennsylvania,13.7
Rhode Island,14.7
South Carolina,18.8
South Dakota,14.1
Tennessee,18.4
Texas,18.5
Utah,13.6
Vermont,11.9
Virginia,11.6
Washington,13.9
West Virginia,18.7
Wisconsin,13.1
Wyoming,11.3
