state,value
Alabama,19.2
Alaska,11.4
Arizona,18.2
Arkansas,18.7
California,16.4
Colorado,12.1
Connecticut,10.8
Delaware,13
District of Columbia,18.4
Florida,16.6
Georgia,18.4
Hawaii,11.5
Idaho,14.8
Illinois,14.3
Indiana,15.2
Iowa,12.3
Kansas,13.5
Kentucky,19
Louisiana,19.9
Maine,14
Maryland,10.4
Massachusetts,11.7
Michigan,16.2
Minnesota,11.4
Mississippi,21.9
Missouri,15.5
Montana,15.2
Nebraska,12.3
Nevada,15.4
New Hampshire,9.2
New Jersey,11.1
New Mexico,20.6
New York,16
North Carolina,17.2
North Dakota,11.1
Ohio,15.8
Oklahoma,16.6
Oregon,16.4
Pennsylvania,13.6
Rhode Island,14.8
South Carolina,17.9
South Dakota,14.1
Tennessee,18.2
Texas,17.2
Utah,11.8
Vermont,12
Virginia,11.8
Washington,13.2
West Virginia,18.3
Wisconsin,13.2
Wyoming,11.2
