state,value
Alabama,19
Alaska,10.8
Arizona,18.7
Arkansas,19.6
California,17
Colorado,13.6
Connecticut,10.6
Delaware,12.7
District of Columbia,18.8
Florida,17.2
Georgia,19.2
Hawaii,11.8
Idaho,16
Illinois,14.7
Indiana,15.5
Iowa,12.7
Kansas,14
Kentucky,19.3
Louisiana,20.1
Maine,14.4
Maryland,10.4
Massachusetts,11.9
Michigan,17.4
Minnesota,11.4
Mississippi,23.8
Missouri,16.2
Montana,15.6
Nebraska,12.8
Nevada,16.2
New Hampshire,9.7
New Jersey,10.7
New Mexico,20.6
New York,15.9
North Carolina,18
North Dakota,11.2
Ohio,16.2
Oklahoma,17.2
Oregon,17
Pennsylvania,13.7
Rhode Island,14.2
South Carolina,18.3
South Dakota,13.6
Tennessee,18
Texas,17.9
Utah,13
Vermont,11.9
Virginia,11.8
Washington,13.6
West Virginia,18
Wisconsin,13.2
Wyoming,11.9
