state,value
Alabama,15.2
Alaska,16.8
Arizona,18.2
Arkansas,12.6
California,11.1
Colorado,16.3
Connecticut,17.6
Delaware,20.9
District of Columbia,14.2
Florida,13.2
Georgia,11.9
Hawaii,10.9
Idaho,13.7
Illinois,13.1
Indiana,18.2
Iowa,8.8
Kansas,11.7
Kentucky,24.7
Louisiana,16.9
Maine,16.8
Maryland,17.4
Massachusetts,19
Michigan,18
Minnesota,9.6
Mississippi,11.6
Missouri,18.2
Montana,12.4
Nebraska,7.2
Nevada,18.4
New Hampshire,26.2
New Jersey,14
New Mexico,27.3
New York,11.3
North Carolina,13.8
North Dakota,6.3
Ohio,24.6
Oklahoma,20.3
Oregon,12.8
Pennsylvania,21.9
Rhode Island,23.4
South Carolina,14.4
South Dakota,7.8
Tennessee,19.5
Texas,9.7
Utah,22.4
Vermont,13.9
Virginia,11.7
Washington,13.3
West Virginia,35.5
Wisconsin,15.1
Wyoming,19.4
