state,value
Alabama,11.4
Alaska,15.3
Arizona,18.5
Arkansas,12.1
California,11.8
Colorado,14.3
Connecticut,10.8
Delaware,13
District of Columbia,10.1
Florida,16.8
Georgia,11.7
Hawaii,11
Idaho,11.4
Illinois,10.4
Indiana,14.8
Iowa,9
Kansas,9.4
Kentucky,23.9
Louisiana,13.8
Maine,9.9
Maryland,12
Massachusetts,12.3
Michigan,14.8
Minnesota,8.7
Mississippi,11.2
Missouri,17.2
Montana,11.9
Nebraska,5.5
Nevada,21.5
New Hampshire,11
New Jersey,10.7
New Mexico,24.7
New York,8.7
North Carolina,12.2
North Dakota,3.5
Ohio,16.4
Oklahoma,20.3
Oregon,14.3
Pennsylvania,15.7
Rhode Island,15.6
South Carolina,14.9
South Dakota,3.3
Tennessee,17.6
Texas,10
Utah,16.8
Vermont,8.8
Virginia,7.5
Washington,14.1
West Virginia,27.6
Wisconsin,11.5
Wyoming,11.4
