state,value
Alabama,16.2
Alaska,16.8
Arizona,20.3
Arkansas,14
California,11.2
Colorado,16.6
Connecticut,27.4
Delaware,30.8
District of Columbia,38.8
Florida,23.7
Georgia,13.3
Hawaii,12.8
Idaho,15.2
Illinois,18.9
Indiana,24
Iowa,10.6
Kansas,11.1
Kentucky,33.5
Louisiana,21.8
Maine,28.7
Maryland,33.2
Massachusetts,33
Michigan,24.4
Minnesota,12.5
Mississippi,12.1
Missouri,23.6
Montana,11.7
Nebraska,6.4
Nevada,21.7
New Hampshire,39
New Jersey,23.2
New Mexico,25.2
New York,18
North Carolina,19.7
North Dakota,10.6
Ohio,39.1
Oklahoma,21.5
Oregon,11.9
Pennsylvania,37.9
Rhode Island,30.8
South Carolina,18.1
South Dakota,8.4
Tennessee,24.5
Texas,10.1
Utah,22.4
Vermont,22.2
Virginia,16.7
Washington,14.5
West Virginia,52
Wisconsin,19.3
Wyoming,17.6
