state,value
Alabama,11.7
Alaska,15.4
Arizona,18.8
Arkansas,13.3
California,11.2
Colorado,16.7
Connecticut,12.4
Delaware,14.4
District of Columbia,9.6
Florida,14.1
Georgia,11.2
Hawaii,11.1
Idaho,11.3
Illinois,13.1
Indiana,16.2
Iowa,9.3
Kansas,11.9
Kentucky,25.4
Louisiana,12.3
Maine,11
Maryland,11.2
Massachusetts,13.8
Michigan,13.9
Minnesota,10.2
Mississippi,9.7
Missouri,16.2
Montana,10.2
Nebraska,7.6
Nevada,22.2
New Hampshire,12.4
New Jersey,14.5
New Mexico,25.6
New York,11.6
North Carolina,13.9
North Dakota,4
Ohio,18.9
Oklahoma,21.1
Oregon,13.7
Pennsylvania,19
Rhode Island,19.1
South Carolina,12.7
South Dakota,2.9
Tennessee,18.3
Texas,9.7
Utah,22.3
Vermont,8
Virginia,12.7
Washington,15.2
West Virginia,30.1
Wisconsin,12.6
Wyoming,16.1
