state,value
Alabama,12.4
Alaska,16.7
Arizona,19.9
Arkansas,10.8
California,12.4
Colorado,17.1
Connecticut,16.7
Delaware,16.4
District of Columbia,11.9
Florida,13.1
Georgia,11.5
Hawaii,10
Idaho,12.9
Illinois,12.8
Indiana,17.1
Iowa,9.6
Kansas,12.3
Kentucky,23.2
Louisiana,17.4
Maine,12.6
Maryland,15.7
Massachusetts,16.9
Michigan,16.4
Minnesota,10.7
Mississippi,10
Missouri,17.4
Montana,13.6
Nebraska,6
Nevada,21.4
New Hampshire,15
New Jersey,15.2
New Mexico,23.4
New York,12.6
North Carolina,13.5
North Dakota,4.5
Ohio,20.7
Oklahoma,21.3
Oregon,13
Pennsylvania,19.3
Rhode Island,22.5
South Carolina,13.3
South Dakota,4.3
Tennessee,13.3
Texas,9.7
Utah,20.5
Vermont,10.1
Virginia,10.8
Washington,14.8
West Virginia,29.7
Wisconsin,15.7
Wyoming,13.6
