state,value
Alabama,13.4
Alaska,21.2
Arizona,14.2
Arkansas,13.4
California,11.3
Colorado,16.5
Connecticut,11.1
Delaware,11
District of Columbia,6.2
Florida,13.4
Georgia,13.4
Hawaii,8.3
Idaho,9.5
Illinois,10.9
Indiana,13.3
Iowa,7.7
Kansas,7.8
Kentucky,18.5
Louisiana,15.2
Maine,11.8
Maryland,12.8
Massachusetts,15.2
Michigan,13.1
Minnesota,8.7
Mississippi,11
Missouri,13.7
Montana,12.5
Nebraska,4.1
Nevada,18.9
New Hampshire,9.1
New Jersey,8.9
New Mexico,28.3
New York,9.5
North Carolina,13.5
North Dakota,5.8
Ohio,15.5
Oklahoma,16.5
Oregon,13.4
Pennsylvania,15.1
Rhode Island,16.9
South Carolina,12.8
South Dakota,3.9
Tennessee,15.7
Texas,8.8
Utah,19
Vermont,9.3
Virginia,9.6
Washington,15.8
West Virginia,24.9
Wisconsin,11.5
Wyoming,11.2
