state,value
Alabama,10.9
Alaska,12.4
Arizona,16
Arkansas,10.5
California,11.2
Colorado,16.5
Connecticut,12.8
Delaware,7.9
District of Columbia,6.6
Florida,15.5
Georgia,10.3
Hawaii,9.7
Idaho,7.3
Illinois,9.5
Indiana,12.8
Iowa,6.8
Kansas,9.7
Kentucky,17.5
Louisiana,18.5
Maine,11.4
Maryland,14.4
Massachusetts,14.3
Michigan,12.7
Minnesota,7.1
Mississippi,10.7
Missouri,12.7
Montana,13
Nebraska,2.8
Nevada,18.6
New Hampshire,13.8
New Jersey,8.7
New Mexico,24.7
New York,9.2
North Carolina,12.3
North Dakota,3.1
Ohio,14.2
Oklahoma,19.2
Oregon,13.5
Pennsylvania,14.1
Rhode Island,10.8
South Carolina,12.4
South Dakota,2.7
Tennessee,16.5
Texas,9.6
Utah,19.7
Vermont,7.1
Virginia,9.4
Washington,15.2
West Virginia,21.7
Wisconsin,11.6
Wyoming,8.4
