state,value
Alabama,13.2
Alaska,21.5
Arizona,16.9
Arkansas,12.9
California,11.8
Colorado,16.7
Connecticut,11
Delaware,14
District of Columbia,6.2
Florida,17.1
Georgia,11.1
Hawaii,9.2
Idaho,11
Illinois,17.1
Indiana,14.4
Iowa,6.2
Kansas,11.8
Kentucky,18.5
Louisiana,13.5
Maine,14.1
Maryland,14.4
Massachusetts,13.6
Michigan,15.1
Minnesota,9.2
Mississippi,10.9
Missouri,13.6
Montana,12.6
Nebraska,4.5
Nevada,19.8
New Hampshire,11.7
New Jersey,2.9
New Mexico,24.1
New York,8.9
North Carolina,13.5
North Dakota,3.5
Ohio,11
Oklahoma,21.3
Oregon,14.1
Pennsylvania,15.7
Rhode Island,15.1
South Carolina,13.9
South Dakota,3.3
Tennessee,13.6
Texas,10.1
Utah,19
Vermont,5.9
Virginia,9.1
Washington,15.5
West Virginia,11.3
Wisconsin,11.7
Wyoming,10
