state,value
Alabama,11.9
Alaska,17.7
Arizona,18.1
Arkansas,12.1
California,11.9
Colorado,17.6
Connecticut,10.9
Delaware,15.6
District of Columbia,10.4
Florida,15.9
Georgia,11.4
Hawaii,13.1
Idaho,12.2
Illinois,11.3
Indiana,15.8
Iowa,9
Kansas,10.6
Kentucky,25
Louisiana,13
Maine,11.6
Maryland,12.8
Massachusetts,14.2
Michigan,15.1
Minnesota,11.2
Mississippi,9.5
Missouri,16.4
Montana,14.1
Nebraska,5.2
Nevada,22.8
New Hampshire,14.6
New Jersey,12.3
New Mexico,27.2
New York,10.8
North Carolina,13.9
North Dakota,3.5
Ohio,18
Oklahoma,19.4
Oregon,14.8
Pennsylvania,18.4
Rhode Island,18.1
South Carolina,13.5
South Dakota,5.1
Tennessee,17.6
Texas,10.4
Utah,19
Vermont,9.4
Virginia,10.2
Washington,15.2
West Virginia,34.2
Wisconsin,12.6
Wyoming,13.7
