state,value
Alabama,8.6
Alaska,9.8
Arizona,14.5
Arkansas,10.1
California,9.8
Colorado,13.2
Connecticut,11.2
Delaware,7
District of Columbia,14.9
Florida,14.3
Georgia,9
Hawaii,4.7
Idaho,7.7
Illinois,10.7
Indiana,11.6
Iowa,6.2
Kansas,9.3
Kentucky,17.2
Louisiana,16.3
Maine,11.9
Maryland,13.5
Massachusetts,15.2
Michigan,11.7
Minnesota,6.1
Mississippi,11.6
Missouri,12.7
Montana,8.3
Nebraska,4.4
Nevada,18.1
New Hampshire,10.5
New Jersey,9.7
New Mexico,21.4
New York,8.9
North Carolina,12
North Dakota,0
Ohio,13.2
Oklahoma,15.6
Oregon,13.1
Pennsylvania,13
Rhode Island,15.3
South Carolina,12.4
South Dakota,2.7
Tennessee,15.9
Texas,9.5
Utah,14.9
Vermont,9.2
Virginia,8
Washington,14
West Virginia,19.8
Wisconsin,10.5
Wyoming,9.9
