state,value
Alabama,6.1
Alaska,9.3
Arizona,13.5
Arkansas,9.6
California,9.2
Colorado,13.5
Connecticut,8.4
Delaware,7
District of Columbia,12
Florida,13.4
Georgia,8.4
Hawaii,8.8
Idaho,7.6
Illinois,8.4
Indiana,9.7
Iowa,4.4
Kansas,8.7
Kentucky,15.3
Louisiana,14.4
Maine,11.7
Maryland,11.7
Massachusetts,12.2
Michigan,9.8
Minnesota,5.5
Mississippi,8.4
Missouri,10.4
Montana,8.4
Nebraska,4.8
Nevada,17.9
New Hampshire,10.1
New Jersey,9.4
New Mexico,19.2
New York,5
North Carolina,11.7
North Dakota,0
Ohio,10.8
Oklahoma,13.4
Oregon,10.7
Pennsylvania,12.9
Rhode Island,13
South Carolina,9.7
South Dakota,2.8
Tennessee,14.5
Texas,8.5
Utah,17.7
Vermont,5.3
Virginia,7.8
Washington,13.6
West Virginia,8.6
Wisconsin,9.3
Wyoming,0.3
