state,value
Alabama,35.6
Alaska,29.8
Arizona,28.4
Arkansas,34.5
California,24.2
Colorado,20.2
Connecticut,25.3
Delaware,29.7
District of Columbia,22.1
Florida,26.8
Georgia,30.7
Hawaii,22.7
Idaho,28.6
Illinois,30.8
Indiana,31.3
Iowa,32.1
Kansas,34.2
Kentucky,34.6
Louisiana,36.2
Maine,30
Maryland,28.9
Massachusetts,24.3
Michigan,31.2
Minnesota,26.1
Mississippi,35.6
Missouri,32.4
Montana,23.6
Nebraska,31.4
Nevada,26.7
New Hampshire,26.3
New Jersey,25.6
New Mexico,28.8
New York,25
North Carolina,30.1
North Dakota,31
Ohio,29.8
Oklahoma,33.9
Oregon,30.1
Pennsylvania,30
Rhode Island,26
South Carolina,31.7
South Dakota,30.4
Tennessee,33.8
Texas,32.4
Utah,24.5
Vermont,25.1
Virginia,29.2
Washington,26.4
West Virginia,35.6
Wisconsin,30.7
Wyoming,29
