state,value
Alabama,35.7
Alaska,31.4
Arizona,29
Arkansas,35.7
California,25
Colorado,22.3
Connecticut,26
Delaware,30.7
District of Columbia,22.6
Florida,27.4
Georgia,31.4
Hawaii,23.8
Idaho,27.4
Illinois,31.6
Indiana,32.5
Iowa,32
Kansas,31.2
Kentucky,34.2
Louisiana,35.5
Maine,29.9
Maryland,29.9
Massachusetts,23.6
Michigan,32.5
Minnesota,27.8
Mississippi,37.3
Missouri,31.7
Montana,25.5
Nebraska,32
Nevada,25.8
New Hampshire,26.6
New Jersey,27.4
New Mexico,28.3
New York,25.5
North Carolina,31.8
North Dakota,31.9
Ohio,31.5
Oklahoma,32.8
Oregon,28.7
Pennsylvania,30.3
Rhode Island,26.6
South Carolina,32.3
South Dakota,29.6
Tennessee,34.8
Texas,33.7
Utah,25.4
Vermont,27.1
Virginia,29
Washington,28.6
West Virginia,37.7
Wisconsin,30.7
Wyoming,27.7
