state,value
Alabama,30.1
Alaska,27.3
Arizona,23.3
Arkansas,28.1
California,23.1
Colorado,18.4
Connecticut,20.8
Delaware,25.9
District of Columbia,22.1
Florida,23.3
Georgia,27.5
Hawaii,20.7
Idaho,24.6
Illinois,25.3
Indiana,27.5
Iowa,26.3
Kansas,25.8
Kentucky,28.4
Louisiana,29.5
Maine,23.7
Maryland,25.2
Massachusetts,20.9
Michigan,27.7
Minnesota,24.8
Mississippi,31.7
Missouri,27.4
Montana,21.7
Nebraska,26.5
Nevada,23.6
New Hampshire,23.6
New Jersey,22.9
New Mexico,23.3
New York,23.5
North Carolina,27.1
North Dakota,25.9
Ohio,26.9
Oklahoma,28.1
Oregon,25
Pennsylvania,25.7
Rhode Island,21.4
South Carolina,29.2
South Dakota,26.1
Tennessee,29
Texas,27.2
Utah,21.8
Vermont,21.1
Virginia,25.2
Washington,24.5
West Virginia,30.6
Wisconsin,25.5
Wyoming,24
