state,value
Alabama,31.2
Alaska,27.2
Arizona,24.8
Arkansas,28.6
California,23.6
Colorado,18.9
Connecticut,21.3
Delaware,27.3
District of Columbia,22.3
Florida,24.1
Georgia,27.9
Hawaii,21.8
Idaho,24.8
Illinois,25.9
Indiana,27.4
Iowa,26.7
Kansas,27.2
Kentucky,29
Louisiana,28.9
Maine,24.7
Maryland,26
Massachusetts,21.2
Michigan,28.8
Minnesota,25.3
Mississippi,32.5
Missouri,28.1
Montana,22.7
Nebraska,26.9
Nevada,25.1
New Hampshire,24.1
New Jersey,23.4
New Mexico,24.6
New York,24.5
North Carolina,28.3
North Dakota,26.7
Ohio,28.6
Oklahoma,29.5
Oregon,25.4
Pennsylvania,26.7
Rhode Island,21.7
South Carolina,29.7
South Dakota,26.9
Tennessee,30.2
Texas,27.9
Utah,22.5
Vermont,22.1
Virginia,25.4
Washington,25.4
West Virginia,31.1
Wisconsin,26
Wyoming,24.3
