state,value
Alabama,28.7
Alaska,24.9
Arizona,20.8
Arkansas,26.4
California,22.7
Colorado,16.9
Connecticut,19.6
Delaware,22.8
District of Columbia,21.5
Florida,21.8
Georgia,25.5
Hawaii,18.2
Idaho,22.5
Illinois,23.9
Indiana,26.2
Iowa,24.3
Kansas,23.2
Kentucky,26.7
Louisiana,27.4
Maine,22
Maryland,23.4
Massachusetts,18.6
Michigan,25.6
Minnesota,23.1
Mississippi,29.5
Missouri,25.2
Montana,19.9
Nebraska,24.4
Nevada,21
New Hampshire,21.7
New Jersey,21.4
New Mexico,21.2
New York,21.7
North Carolina,24.7
North Dakota,24.6
Ohio,24.9
Oklahoma,25.4
Oregon,22.2
Pennsylvania,24.5
Rhode Island,19.5
South Carolina,26.2
South Dakota,24
Tennessee,26.6
Texas,25.8
Utah,20.8
Vermont,19.5
Virginia,23.3
Washington,22.4
West Virginia,28.6
Wisconsin,22.9
Wyoming,21.7
