state,value
Alabama,32.3
Alaska,25.9
Arizona,25.4
Arkansas,30.6
California,24.8
Colorado,19.8
Connecticut,21.8
Delaware,28
District of Columbia,21.7
Florida,26.1
Georgia,28.7
Hawaii,23.1
Idaho,25.7
Illinois,27.7
Indiana,29.1
Iowa,28.1
Kansas,29
Kentucky,31.5
Louisiana,31.6
Maine,26.5
Maryland,27.1
Massachusetts,22.3
Michigan,30.5
Minnesota,25.3
Mississippi,34.4
Missouri,30.3
Montana,23.8
Nebraska,27.6
Nevada,25
New Hampshire,25.6
New Jersey,24.1
New Mexico,25.6
New York,24.7
North Carolina,29.4
North Dakota,28
Ohio,29.6
Oklahoma,31.4
Oregon,25.4
Pennsylvania,28.5
Rhode Island,24.3
South Carolina,30.9
South Dakota,28.7
Tennessee,31.9
Texas,30.1
Utah,23.4
Vermont,23.5
Virginia,25.9
Washington,26.4
West Virginia,32.2
Wisconsin,27.4
Wyoming,25.4
