state,value
Alabama,31.6
Alaska,26.9
Arizona,25.8
Arkansas,30.1
California,24.4
Colorado,19.1
Connecticut,21.4
Delaware,27.9
District of Columbia,21.5
Florida,25.1
Georgia,28.1
Hawaii,22.6
Idaho,25.1
Illinois,26.6
Indiana,28.1
Iowa,27.6
Kansas,28.2
Kentucky,30.5
Louisiana,31.2
Maine,25.8
Maryland,26.6
Massachusetts,21.7
Michigan,29.4
Minnesota,25.5
Mississippi,33.8
Missouri,29.3
Montana,23.5
Nebraska,27.3
Nevada,25.6
New Hampshire,25.4
New Jersey,23.9
New Mexico,25.5
New York,25.1
North Carolina,29.4
North Dakota,27.7
Ohio,29
Oklahoma,30.6
Oregon,25
Pennsylvania,28.1
Rhode Island,22.9
South Carolina,29.9
South Dakota,28.5
Tennessee,31.6
Texas,29
Utah,23.2
Vermont,22.8
Virginia,25.5
Washington,26.3
West Virginia,31.3
Wisconsin,26.9
Wyoming,25
