state,value
Alabama,32.4
Alaska,28.4
Arizona,26.8
Arkansas,34.6
California,24.1
Colorado,21.3
Connecticut,25
Delaware,31.1
District of Columbia,22.9
Florida,26.4
Georgia,30.3
Hawaii,21.8
Idaho,29.6
Illinois,29.4
Indiana,31.8
Iowa,31.3
Kansas,30
Kentucky,33.2
Louisiana,33.1
Maine,28.9
Maryland,28.3
Massachusetts,23.6
Michigan,31.5
Minnesota,25.5
Mississippi,35.1
Missouri,30.4
Montana,24.6
Nebraska,29.6
Nevada,26.2
New Hampshire,26.7
New Jersey,26.3
New Mexico,26.4
New York,25.4
North Carolina,29.4
North Dakota,31
Ohio,30.4
Oklahoma,32.5
Oregon,26.5
Pennsylvania,30
Rhode Island,27.3
South Carolina,31.7
South Dakota,29.9
Tennessee,33.7
Texas,30.9
Utah,24.1
Vermont,24.7
Virginia,27.2
Washington,27.2
West Virginia,35.1
Wisconsin,29.8
Wyoming,27.8
