state,value
Alabama,29.4
Alaska,25.8
Arizona,21.7
Arkansas,27
California,22.7
Colorado,17.6
Connecticut,20.1
Delaware,23.6
District of Columbia,22.2
Florida,22.9
Georgia,26.1
Hawaii,20.1
Idaho,23.2
Illinois,24.4
Indiana,26.8
Iowa,24.9
Kansas,24.3
Kentucky,27.5
Louisiana,28.2
Maine,23
Maryland,24.4
Massachusetts,19.8
Michigan,26.8
Minnesota,23.7
Mississippi,30.6
Missouri,26.3
Montana,20.7
Nebraska,25.4
Nevada,22.5
New Hampshire,22.4
New Jersey,22.2
New Mexico,22
New York,22.4
North Carolina,25.6
North Dakota,25.1
Ohio,26
Oklahoma,26.8
Oregon,23.3
Pennsylvania,24.5
Rhode Island,20.5
South Carolina,27.8
South Dakota,24.9
Tennessee,27.8
Texas,26.3
Utah,21.1
Vermont,20
Virginia,24.5
Washington,23.2
West Virginia,29.8
Wisconsin,24.8
Wyoming,22.8
