state,value
Alabama,32
Alaska,27.4
Arizona,24.7
Arkansas,30.9
California,23.8
Colorado,20.7
Connecticut,24.5
Delaware,28.8
District of Columbia,23.7
Florida,26.6
Georgia,28
Hawaii,21.8
Idaho,27
Illinois,27.1
Indiana,30.8
Iowa,29
Kansas,29.6
Kentucky,30.4
Louisiana,33.4
Maine,27.8
Maryland,28.3
Massachusetts,22.7
Michigan,31.3
Minnesota,25.7
Mississippi,34.9
Missouri,30.3
Montana,24.6
Nebraska,28.4
Nevada,24.5
New Hampshire,26.2
New Jersey,23.7
New Mexico,26.3
New York,24.5
North Carolina,29.1
North Dakota,27.8
Ohio,29.6
Oklahoma,31.1
Oregon,26.7
Pennsylvania,28.6
Rhode Island,25.4
South Carolina,30.8
South Dakota,28.1
Tennessee,29.2
Texas,30.4
Utah,24.4
Vermont,25.4
Virginia,29.2
Washington,26.5
West Virginia,32.4
Wisconsin,27.7
Wyoming,25
