state,value
Alabama,120.3
Alaska,66.6
Arizona,77.8
Arkansas,108.2
California,53.6
Colorado,65.9
Connecticut,67.5
Delaware,92.3
District of Columbia,41.2
Florida,82.2
Georgia,82.5
Hawaii,44.5
Idaho,78.8
Illinois,59.2
Indiana,99.7
Iowa,57.1
Kansas,80.6
Kentucky,130.8
Louisiana,110.1
Maine,85.4
Maryland,63.3
Massachusetts,68.2
Michigan,85.6
Minnesota,53.7
Mississippi,109.9
Missouri,84.3
Montana,81.1
Nebraska,65.1
Nevada,90.2
New Hampshire,78.5
New Jersey,57.2
New Mexico,69
New York,46.1
North Carolina,87.5
North Dakota,59.3
Ohio,92.7
Oklahoma,114.4
Oregon,95.5
Pennsylvania,73.7
Rhode Island,82.2
South Carolina,91.7
South Dakota,49.9
Tennessee,128.8
Texas,71.2
Utah,89.8
Vermont,56
Virginia,70.1
Washington,84.4
West Virginia,135.1
Wisconsin,69.2
Wyoming,80.8
