state,value
Alabama,115.6
Alaska,63.4
Arizona,74.3
Arkansas,98.3
California,51
Colorado,62.2
Connecticut,64.7
Delaware,86.6
District of Columbia,31.7
Florida,79.7
Georgia,79.8
Hawaii,42.3
Idaho,75.6
Illinois,55.6
Indiana,94.3
Iowa,59.3
Kansas,77.5
Kentucky,122.6
Louisiana,109.2
Maine,83.6
Maryland,60.1
Massachusetts,66
Michigan,80.2
Minnesota,50.3
Mississippi,102.7
Missouri,80.5
Montana,79.1
Nebraska,64.3
Nevada,87.7
New Hampshire,75
New Jersey,54.7
New Mexico,61.8
New York,44.2
North Carolina,85.2
North Dakota,56
Ohio,87.7
Oklahoma,108.7
Oregon,91
Pennsylvania,69.5
Rhode Island,78.7
South Carolina,90.4
South Dakota,50
Tennessee,124.8
Texas,66.8
Utah,87
Vermont,56.9
Virginia,67.2
Washington,80.8
West Virginia,129.9
Wisconsin,64.7
Wyoming,79.9
