state,value
Alabama,136.6
Alaska,68
Arizona,88.6
Arkansas,115.2
California,55.9
Colorado,73
Connecticut,69.1
Delaware,99.7
District of Columbia,39.8
Florida,83.5
Georgia,88.6
Hawaii,50.1
Idaho,91.4
Illinois,64.3
Indiana,106.7
Iowa,64
Kansas,87.8
Kentucky,137
Louisiana,111.7
Maine,93.1
Maryland,72.9
Massachusetts,65.9
Michigan,98.8
Minnesota,60
Mississippi,117.2
Missouri,91.6
Montana,85.3
Nebraska,68.8
Nevada,100.3
New Hampshire,80.9
New Jersey,61.5
New Mexico,81.6
New York,51.1
North Carolina,93.5
North Dakota,61.3
Ohio,101.5
Oklahoma,122.3
Oregon,100.7
Pennsylvania,81.7
Rhode Island,82.5
South Carolina,96.8
South Dakota,55.1
Tennessee,138.5
Texas,72
Utah,85.2
Vermont,53.6
Virginia,76.6
Washington,81.6
West Virginia,139.6
Wisconsin,75.2
Wyoming,78.2
