state,value
Alabama,135.2
Alaska,62.7
Arizona,79.7
Arkansas,123.2
California,52.7
Colorado,69.6
Connecticut,66
Delaware,91
District of Columbia,40.1
Florida,71.4
Georgia,83.8
Hawaii,47.7
Idaho,87.4
Illinois,62.3
Indiana,96.7
Iowa,72.3
Kansas,86.5
Kentucky,110
Louisiana,108.9
Maine,82.4
Maryland,67.6
Massachusetts,59.6
Michigan,98
Minnesota,56.6
Mississippi,116.3
Missouri,90.7
Montana,80.1
Nebraska,70.1
Nevada,90.1
New Hampshire,79.6
New Jersey,57.2
New Mexico,71.5
New York,43.9
North Carolina,93.7
North Dakota,58.1
Ohio,89.5
Oklahoma,110.9
Oregon,91.9
Pennsylvania,79.9
Rhode Island,72.8
South Carolina,101.3
South Dakota,61.7
Tennessee,121.3
Texas,67
Utah,78.8
Vermont,50.4
Virginia,73.5
Washington,74.2
West Virginia,126.4
Wisconsin,71.9
Wyoming,80.9
