state,value
Alabama,126.1
Alaska,68.5
Arizona,80.9
Arkansas,112.1
California,55.1
Colorado,67.7
Connecticut,68.7
Delaware,95.4
District of Columbia,34.5
Florida,84.3
Georgia,86.3
Hawaii,46.6
Idaho,82.7
Illinois,60.2
Indiana,103.3
Iowa,59.1
Kansas,82.7
Kentucky,136.6
Louisiana,113.7
Maine,88.7
Maryland,65.5
Massachusetts,69.2
Michigan,89.9
Minnesota,56.5
Mississippi,113.2
Missouri,86.8
Montana,85.3
Nebraska,66.2
Nevada,97
New Hampshire,81.7
New Jersey,59.5
New Mexico,71.4
New York,48.4
North Carolina,88.6
North Dakota,61.7
Ohio,97.5
Oklahoma,111.3
Oregon,99.1
Pennsylvania,76.5
Rhode Island,82.9
South Carolina,94.1
South Dakota,52.1
Tennessee,132.9
Texas,71.3
Utah,91.3
Vermont,56.5
Virginia,73
Washington,86.6
West Virginia,145.5
Wisconsin,70.6
Wyoming,81
