state,value
Alabama,143.8
Alaska,66.8
Arizona,85.3
Arkansas,121.8
California,56.4
Colorado,73.5
Connecticut,69.3
Delaware,94
District of Columbia,40.3
Florida,75.9
Georgia,89.4
Hawaii,50.4
Idaho,92
Illinois,66.1
Indiana,110.5
Iowa,74.1
Kansas,90.3
Kentucky,127.9
Louisiana,113
Maine,89.7
Maryland,72.2
Massachusetts,65.7
Michigan,100.7
Minnesota,60.9
Mississippi,121.8
Missouri,95.4
Montana,87.7
Nebraska,73.2
Nevada,98.9
New Hampshire,83.7
New Jersey,60.1
New Mexico,76.8
New York,51.8
North Carolina,98.6
North Dakota,62.1
Ohio,97.5
Oklahoma,127.4
Oregon,98.7
Pennsylvania,83.3
Rhode Island,83.2
South Carolina,104
South Dakota,60.1
Tennessee,136.1
Texas,73.4
Utah,84.5
Vermont,54.6
Virginia,79.6
Washington,78.7
West Virginia,136.9
Wisconsin,76.8
Wyoming,80.5
