state,value
Alabama,131.6
Alaska,67.3
Arizona,84.2
Arkansas,116
California,55.6
Colorado,69.8
Connecticut,68.1
Delaware,97.5
District of Columbia,34.4
Florida,86.3
Georgia,88.2
Hawaii,47.8
Idaho,85.2
Illinois,61
Indiana,105.6
Iowa,60.4
Kansas,82.8
Kentucky,135.2
Louisiana,113
Maine,87.9
Maryland,66.9
Massachusetts,68.9
Michigan,91.6
Minnesota,58.6
Mississippi,117.3
Missouri,88.5
Montana,85.8
Nebraska,66.4
Nevada,94
New Hampshire,81.5
New Jersey,59.9
New Mexico,75.3
New York,49.5
North Carolina,89.3
North Dakota,60.3
Ohio,100.4
Oklahoma,115
Oregon,99.3
Pennsylvania,78.1
Rhode Island,82.5
South Carolina,95.8
South Dakota,52.3
Tennessee,138.4
Texas,71.8
Utah,86.9
Vermont,54.5
Virginia,74.1
Washington,86.1
West Virginia,146.9
Wisconsin,71.9
Wyoming,81
