state,value
Alabama,121
Alaska,58.9
Arizona,70.2
Arkansas,114.6
California,44.8
Colorado,59.8
Connecticut,55.9
Delaware,79.2
District of Columbia,32.5
Florida,66.6
Georgia,77.8
Hawaii,41.9
Idaho,77.6
Illinois,56.8
Indiana,83.9
Iowa,64
Kansas,76.9
Kentucky,97.2
Louisiana,98.1
Maine,66.9
Maryland,58.7
Massachusetts,47.1
Michigan,84.9
Minnesota,46.9
Mississippi,105.6
Missouri,80.4
Montana,69.8
Nebraska,62.8
Nevada,80.7
New Hampshire,64.3
New Jersey,52.6
New Mexico,65.1
New York,42.7
North Carolina,82.5
North Dakota,47.8
Ohio,75.3
Oklahoma,97.9
Oregon,76.3
Pennsylvania,69.5
Rhode Island,60.3
South Carolina,89.4
South Dakota,54.8
Tennessee,107.5
Texas,57.6
Utah,70.4
Vermont,58.6
Virginia,63.4
Washington,64.9
West Virginia,96
Wisconsin,62.2
Wyoming,71.1
