state,value
Alabama,125
Alaska,60.8
Arizona,75.5
Arkansas,117.2
California,47.7
Colorado,65.1
Connecticut,62.3
Delaware,84.4
District of Columbia,35.7
Florida,67.1
Georgia,79.4
Hawaii,44.3
Idaho,81.9
Illinois,59.1
Indiana,89.1
Iowa,68.6
Kansas,80.5
Kentucky,102.6
Louisiana,100.4
Maine,76.5
Maryland,63
Massachusetts,54
Michigan,90.5
Minnesota,52.1
Mississippi,110.9
Missouri,84.5
Montana,73.3
Nebraska,65.5
Nevada,85.4
New Hampshire,74.8
New Jersey,56
New Mexico,69.8
New York,45.1
North Carolina,88.4
North Dakota,53
Ohio,82.7
Oklahoma,104.4
Oregon,84.2
Pennsylvania,75.5
Rhode Island,65.7
South Carolina,95.1
South Dakota,59.1
Tennessee,114.9
Texas,59.8
Utah,74.4
Vermont,60.1
Virginia,68.1
Washington,69.8
West Virginia,111.3
Wisconsin,67.5
Wyoming,75.4
