state,value
Alabama,38.18
Alaska,24.8
Arizona,27.78
Arkansas,35.2
California,21.8
Colorado,22.9
Connecticut,22.96
Delaware,29.76
District of Columbia,18.04
Florida,28.08
Georgia,29.28
Hawaii,18.22
Idaho,27.36
Illinois,22.82
Indiana,32.36
Iowa,22.32
Kansas,27.4
Kentucky,40.36
Louisiana,35.34
Maine,29.02
Maryland,22.74
Massachusetts,23.02
Michigan,30.46
Minnesota,21.3
Mississippi,36.88
Missouri,29.24
Montana,27.9
Nebraska,23.52
Nevada,30.84
New Hampshire,25.76
New Jersey,21.02
New Mexico,25.98
New York,20.08
North Carolina,29.58
North Dakota,22.24
Ohio,31.52
Oklahoma,34.62
Oregon,31.46
Pennsylvania,25.96
Rhode Island,27.1
South Carolina,31.28
South Dakota,21.02
Tennessee,39.54
Texas,26.1
Utah,27.3
Vermont,21.26
Virginia,24.42
Washington,28.24
West Virginia,42.08
Wisconsin,24.4
Wyoming,26.1
