state,value
Alabama,36.56
Alaska,24.3
Arizona,26.3
Arkansas,34.2
California,20.8
Colorado,22.36
Connecticut,22.06
Delaware,28.44
District of Columbia,19.12
Florida,26.78
Georgia,28.04
Hawaii,17.16
Idaho,26
Illinois,22.18
Indiana,31.24
Iowa,21.58
Kansas,26.58
Kentucky,38.86
Louisiana,34.74
Maine,27.68
Maryland,21.94
Massachusetts,22.56
Michigan,29.06
Minnesota,20.42
Mississippi,35.82
Missouri,28.36
Montana,26.54
Nebraska,23.08
Nevada,28.48
New Hampshire,24.86
New Jersey,20.22
New Mexico,25.34
New York,19.24
North Carolina,28.74
North Dakota,21.62
Ohio,29.98
Oklahoma,35.04
Oregon,30.26
Pennsylvania,24.92
Rhode Island,26.26
South Carolina,30.34
South Dakota,20.38
Tennessee,38.2
Texas,25.92
Utah,26.6
Vermont,20.66
Virginia,23.54
Washington,27.42
West Virginia,39.8
Wisconsin,24.08
Wyoming,26.02
