state,value
Alabama,38.48
Alaska,23.66
Arizona,26.7
Arkansas,36.98
California,19.82
Colorado,21.64
Connecticut,21.54
Delaware,27.48
District of Columbia,17.72
Florida,25.34
Georgia,28.44
Hawaii,17.44
Idaho,27
Illinois,23.44
Indiana,29.48
Iowa,24.42
Kansas,27.18
Kentucky,33.58
Louisiana,34.4
Maine,25.5
Maryland,22.56
Massachusetts,18.92
Michigan,29.82
Minnesota,19.76
Mississippi,36.22
Missouri,28.56
Montana,25.04
Nebraska,23.96
Nevada,28.1
New Hampshire,22.7
New Jersey,20.8
New Mexico,26.48
New York,19.32
North Carolina,29.12
North Dakota,20.62
Ohio,27.7
Oklahoma,32.98
Oregon,27.26
Pennsylvania,25.6
Rhode Island,23.56
South Carolina,30.62
South Dakota,22.16
Tennessee,35.1
Texas,24.42
Utah,23.7
Vermont,22.68
Virginia,23.52
Washington,24.4
West Virginia,34.32
Wisconsin,23.92
Wyoming,25.58
