state,value
Alabama,42.68
Alaska,24
Arizona,29.2
Arkansas,39.08
California,22.78
Colorado,24.9
Connecticut,24.34
Delaware,31.02
District of Columbia,20.26
Florida,27.46
Georgia,31.16
Hawaii,19.34
Idaho,30.56
Illinois,25.28
Indiana,34.86
Iowa,26.3
Kansas,29.86
Kentucky,36.96
Louisiana,36.88
Maine,30
Maryland,24.82
Massachusetts,22.94
Michigan,33.6
Minnesota,22.02
Mississippi,39.8
Missouri,31.68
Montana,28.64
Nebraska,25.6
Nevada,31.26
New Hampshire,26.98
New Jersey,22.58
New Mexico,27.7
New York,20.9
North Carolina,32.56
North Dakota,23
Ohio,31.8
Oklahoma,38.24
Oregon,31.64
Pennsylvania,28.48
Rhode Island,27.86
South Carolina,34.32
South Dakota,23.88
Tennessee,39.82
Texas,27.1
Utah,26.56
Vermont,21.2
Virginia,26.28
Washington,27.14
West Virginia,40.5
Wisconsin,26.9
Wyoming,27.4
