state,value
Alabama,43.3
Alaska,24.56
Arizona,30.16
Arkansas,39.36
California,23.72
Colorado,25.58
Connecticut,24.88
Delaware,30.52
District of Columbia,19.84
Florida,28
Georgia,31.66
Hawaii,20.26
Idaho,30.9
Illinois,25.58
Indiana,35.68
Iowa,26.72
Kansas,30.42
Kentucky,39.98
Louisiana,37.44
Maine,30.84
Maryland,25.46
Massachusetts,23.46
Michigan,34.02
Minnesota,22.76
Mississippi,40.22
Missouri,32.12
Montana,29.18
Nebraska,25.8
Nevada,33.42
New Hampshire,27.7
New Jersey,22.66
New Mexico,28.94
New York,21.72
North Carolina,33.26
North Dakota,23.16
Ohio,32.74
Oklahoma,39.1
Oregon,33.04
Pennsylvania,28.68
Rhode Island,29
South Carolina,34.76
South Dakota,23.42
Tennessee,41.2
Texas,27.64
Utah,27.34
Vermont,21.46
Virginia,27.02
Washington,27.9
West Virginia,41.9
Wisconsin,27.54
Wyoming,27.02
