state,value
Alabama,41.44
Alaska,24.5
Arizona,29.18
Arkansas,39.34
California,22.18
Colorado,24.04
Connecticut,24.16
Delaware,30.52
District of Columbia,19.4
Florida,26.7
Georgia,30.22
Hawaii,19.06
Idaho,29.56
Illinois,24.6
Indiana,32.7
Iowa,26.06
Kansas,29.48
Kentucky,36.04
Louisiana,36.42
Maine,28.96
Maryland,24.68
Massachusetts,21.96
Michigan,32.78
Minnesota,22
Mississippi,38.66
Missouri,30.98
Montana,27.82
Nebraska,25.32
Nevada,31.06
New Hampshire,26.54
New Jersey,22.1
New Mexico,27.9
New York,20.38
North Carolina,31.56
North Dakota,22.7
Ohio,31.2
Oklahoma,35.66
Oregon,31.3
Pennsylvania,27.84
Rhode Island,26.74
South Carolina,33.78
South Dakota,23.88
Tennessee,37.98
Texas,26.42
Utah,25.84
Vermont,20.7
Virginia,25.82
Washington,26.56
West Virginia,40.06
Wisconsin,26.54
Wyoming,27.94
