state,value
Alabama,41.72
Alaska,25.14
Arizona,30.8
Arkansas,38.22
California,23.64
Colorado,25.1
Connecticut,24.1
Delaware,32.04
District of Columbia,19.34
Florida,30.88
Georgia,31.74
Hawaii,20.26
Idaho,30.22
Illinois,25
Indiana,34.84
Iowa,23.88
Kansas,29.46
Kentucky,42.02
Louisiana,36.62
Maine,30.86
Maryland,25.06
Massachusetts,23.9
Michigan,33.48
Minnesota,22.58
Mississippi,39.46
Missouri,31.62
Montana,29.18
Nebraska,24.86
Nevada,32.84
New Hampshire,26.76
New Jersey,22.66
New Mexico,29.68
New York,21.56
North Carolina,32.34
North Dakota,23.32
Ohio,34
Oklahoma,37.54
Oregon,33.28
Pennsylvania,28.16
Rhode Island,28.8
South Carolina,33.84
South Dakota,22.62
Tennessee,42.42
Texas,28.02
Utah,27.98
Vermont,21.6
Virginia,25.92
Washington,29.36
West Virginia,43.02
Wisconsin,26.9
Wyoming,27.2
