state,value
Alabama,35.52
Alaska,23.54
Arizona,25.24
Arkansas,32.04
California,20.26
Colorado,21.44
Connecticut,21.4
Delaware,27.08
District of Columbia,17.36
Florida,26.08
Georgia,27.38
Hawaii,16.76
Idaho,25.42
Illinois,21.22
Indiana,30.14
Iowa,21.78
Kansas,25.88
Kentucky,37.1
Louisiana,34.46
Maine,27.26
Maryland,21.18
Massachusetts,21.92
Michigan,27.74
Minnesota,19.4
Mississippi,34.28
Missouri,27.42
Montana,25.86
Nebraska,22.78
Nevada,27.6
New Hampshire,23.98
New Jersey,19.7
New Mexico,23.64
New York,18.74
North Carolina,28.04
North Dakota,20.92
Ohio,28.78
Oklahoma,33.8
Oregon,29.16
Pennsylvania,23.92
Rhode Island,25.22
South Carolina,30.04
South Dakota,20.18
Tennessee,37.3
Texas,25.12
Utah,26.14
Vermont,20.56
Virginia,22.82
Washington,26.62
West Virginia,38.74
Wisconsin,22.98
Wyoming,25.88
