state,value
Alabama,39.56
Alaska,23.8
Arizona,28.04
Arkansas,37.72
California,20.6
Colorado,22.54
Connecticut,22.92
Delaware,28.56
District of Columbia,18.24
Florida,25.68
Georgia,28.92
Hawaii,18.16
Idaho,28.28
Illinois,23.84
Indiana,30.48
Iowa,25.48
Kansas,28.62
Kentucky,34.86
Louisiana,34.88
Maine,27.6
Maryland,23.4
Massachusetts,20.86
Michigan,30.86
Minnesota,20.46
Mississippi,37.34
Missouri,29.82
Montana,25.7
Nebraska,24.54
Nevada,29.6
New Hampshire,25.06
New Jersey,21.34
New Mexico,27.6
New York,19.96
North Carolina,30.34
North Dakota,21.42
Ohio,28.88
Oklahoma,34.4
Oregon,29.66
Pennsylvania,26.72
Rhode Island,24.66
South Carolina,32.12
South Dakota,23.3
Tennessee,36.76
Texas,24.66
Utah,24.62
Vermont,22.4
Virginia,24.7
Washington,25.24
West Virginia,37.12
Wisconsin,25.1
Wyoming,26.28
