state,value
Alabama,40.74
Alaska,24.54
Arizona,29.72
Arkansas,37
California,23
Colorado,24.02
Connecticut,23.42
Delaware,31.16
District of Columbia,18.52
Florida,29.86
Georgia,30.82
Hawaii,19.44
Idaho,28.92
Illinois,24.16
Indiana,34.08
Iowa,23.3
Kansas,28.52
Kentucky,41.28
Louisiana,35.98
Maine,29.42
Maryland,23.86
Massachusetts,23.72
Michigan,32.42
Minnesota,22.5
Mississippi,38.74
Missouri,30.7
Montana,28.72
Nebraska,24.06
Nevada,31.4
New Hampshire,26.72
New Jersey,22.12
New Mexico,27.7
New York,21.12
North Carolina,31.14
North Dakota,22.38
Ohio,33.34
Oklahoma,36.14
Oregon,32.46
Pennsylvania,27.16
Rhode Island,27.76
South Carolina,32.8
South Dakota,22.1
Tennessee,42.04
Texas,27.24
Utah,27.66
Vermont,21.4
Virginia,25.3
Washington,29.2
West Virginia,43.16
Wisconsin,25.96
Wyoming,26.82
