state,value
Alabama,85.50
Alaska,62.00
Arizona,74.90
Arkansas,83.40
California,79.60
Colorado,71.90
Connecticut,92.60
Delaware,81.90
District of Columbia,75.50
Florida,72.80
Georgia,75.40
Hawaii,80.00
Idaho,89.70
Illinois,86.50
Indiana,77.80
Iowa,88.70
Kansas,89.70
Kentucky,84.50
Louisiana,65.00
Maine,83.00
Maryland,85.10
Massachusetts,81.20
Michigan,75.50
Minnesota,91.70
Mississippi,86.80
Missouri,85.80
Montana,82.60
Nebraska,89.00
Nevada,67.40
New Hampshire,87.90
New Jersey,95.90
New Mexico,60.30
New York,71.00
North Carolina,70.30
North Dakota,86.00
Ohio,84.60
Oklahoma,75.50
Oregon,84.00
Pennsylvania,89.30
Rhode Island,73.00
South Carolina,74.90
South Dakota,88.40
Tennessee,82.20
Texas,79.10
Utah,87.80
Vermont,85.50
Virginia,80.00
Washington,77.10
West Virginia,84.00
Wisconsin,89.00
Wyoming,79.00
