state,value
Alabama,87.10
Alaska,76.10
Arizona,79.50
Arkansas,87.00
California,83.00
Colorado,78.90
Connecticut,87.40
Delaware,85.50
District of Columbia,69.20
Florida,80.70
Georgia,79.40
Hawaii,82.70
Idaho,79.70
Illinois,85.50
Indiana,86.80
Iowa,91.30
Kansas,85.70
Kentucky,88.60
Louisiana,78.60
Maine,87.00
Maryland,87.60
Massachusetts,87.50
Michigan,79.70
Minnesota,82.20
Mississippi,82.30
Missouri,89.00
Montana,85.60
Nebraska,89.30
Nevada,73.60
New Hampshire,88.20
New Jersey,90.10
New Mexico,71.00
New York,80.40
North Carolina,85.90
North Dakota,87.50
Ohio,83.50
Oklahoma,81.60
Oregon,74.80
Pennsylvania,86.10
Rhode Island,82.80
South Carolina,82.60
South Dakota,83.90
Tennessee,88.50
Texas,89.10
Utah,85.20
Vermont,87.70
Virginia,86.70
Washington,79.70
West Virginia,89.80
Wisconsin,88.20
Wyoming,80.00
