state,value
Alabama,86.30
Alaska,71.10
Arizona,75.70
Arkansas,86.90
California,81.00
Colorado,77.30
Connecticut,87.00
Delaware,87.00
District of Columbia,61.40
Florida,76.10
Georgia,72.50
Hawaii,81.80
Idaho,77.30
Illinois,86.00
Indiana,87.90
Iowa,90.50
Kansas,85.70
Kentucky,87.50
Louisiana,74.60
Maine,86.50
Maryland,86.40
Massachusetts,86.10
Michigan,78.60
Minnesota,81.20
Mississippi,77.60
Missouri,87.30
Montana,85.40
Nebraska,89.70
Nevada,70.00
New Hampshire,88.10
New Jersey,88.60
New Mexico,68.50
New York,77.80
North Carolina,83.90
North Dakota,87.20
Ohio,81.80
Oklahoma,82.70
Oregon,72.00
Pennsylvania,85.50
Rhode Island,80.80
South Carolina,80.10
South Dakota,82.70
Tennessee,87.20
Texas,88.30
Utah,83.90
Vermont,87.80
Virginia,85.30
Washington,78.20
West Virginia,84.50
Wisconsin,88.60
Wyoming,78.60
