state,value
Alabama,80.00
Alaska,71.80
Arizona,75.10
Arkansas,84.90
California,80.40
Colorado,76.90
Connecticut,85.50
Delaware,80.40
District of Columbia,62.30
Florida,75.60
Georgia,71.70
Hawaii,82.40
Idaho,77.30
Illinois,83.20
Indiana,87.00
Iowa,89.70
Kansas,85.70
Kentucky,86.10
Louisiana,73.50
Maine,86.40
Maryland,85.00
Massachusetts,85.00
Michigan,77.00
Minnesota,79.80
Mississippi,75.50
Missouri,85.70
Montana,84.40
Nebraska,88.50
Nevada,70.70
New Hampshire,87.30
New Jersey,87.50
New Mexico,70.30
New York,76.80
North Carolina,82.50
North Dakota,87.50
Ohio,82.20
Oklahoma,84.80
Oregon,68.70
Pennsylvania,85.50
Rhode Island,79.70
South Carolina,77.60
South Dakota,82.70
Tennessee,86.30
Texas,88.00
Utah,83.00
Vermont,86.60
Virginia,84.50
Washington,76.40
West Virginia,81.40
Wisconsin,88.00
Wyoming,77.00
