state,value
Alabama,88.00
Alaska,68.00
Arizona,78.00
Arkansas,85.00
California,81.00
Colorado,72.00
Connecticut,91.00
Delaware,87.00
District of Columbia,76.00
Florida,78.00
Georgia,81.00
Hawaii,80.00
Idaho,92.00
Illinois,88.00
Indiana,84.00
Iowa,89.00
Kansas,80.00
Kentucky,77.00
Louisiana,67.00
Maine,82.00
Maryland,87.00
Massachusetts,82.00
Michigan,76.00
Minnesota,92.00
Mississippi,73.00
Missouri,86.00
Montana,80.00
Nebraska,89.00
Nevada,70.00
New Hampshire,85.00
New Jersey,95.00
New Mexico,67.00
New York,76.00
North Carolina,74.00
North Dakota,88.00
Ohio,84.00
Oklahoma,82.00
Oregon,85.00
Pennsylvania,91.00
Rhode Island,76.00
South Carolina,72.00
South Dakota,89.00
Tennessee,89.00
Texas,84.00
Utah,90.00
Vermont,87.00
Virginia,80.00
Washington,83.00
West Virginia,84.00
Wisconsin,90.00
Wyoming,80.00
