state,value
Alabama,86.70
Alaska,67.00
Arizona,76.10
Arkansas,83.10
California,78.60
Colorado,74.60
Connecticut,92.10
Delaware,85.30
District of Columbia,74.70
Florida,76.20
Georgia,78.90
Hawaii,80.30
Idaho,91.30
Illinois,87.10
Indiana,81.50
Iowa,87.20
Kansas,89.60
Kentucky,83.90
Louisiana,67.30
Maine,80.00
Maryland,85.20
Massachusetts,81.50
Michigan,75.20
Minnesota,91.70
Mississippi,86.70
Missouri,85.40
Montana,80.80
Nebraska,89.00
Nevada,71.30
New Hampshire,90.20
New Jersey,94.30
New Mexico,66.10
New York,74.50
North Carolina,71.80
North Dakota,87.60
Ohio,83.00
Oklahoma,78.50
Oregon,85.10
Pennsylvania,90.20
Rhode Island,75.50
South Carolina,73.70
South Dakota,89.20
Tennessee,82.20
Texas,80.60
Utah,88.20
Vermont,85.50
Virginia,81.30
Washington,79.20
West Virginia,83.80
Wisconsin,89.40
Wyoming,81.40
