state,value
Alabama,75.00
Alaska,70.00
Arizona,76.00
Arkansas,84.00
California,79.00
Colorado,75.00
Connecticut,85.00
Delaware,80.00
District of Columbia,59.00
Florida,75.00
Georgia,70.00
Hawaii,81.00
Idaho,92.00
Illinois,82.00
Indiana,86.00
Iowa,89.00
Kansas,85.00
Kentucky,86.10
Louisiana,72.00
Maine,85.00
Maryland,84.00
Massachusetts,85.00
Michigan,76.00
Minnesota,78.00
Mississippi,75.00
Missouri,84.00
Montana,84.00
Nebraska,88.00
Nevada,63.00
New Hampshire,86.00
New Jersey,86.00
New Mexico,70.00
New York,77.00
North Carolina,80.00
North Dakota,87.00
Ohio,81.00
Oklahoma,84.80
Oregon,68.00
Pennsylvania,84.00
Rhode Island,77.00
South Carolina,75.00
South Dakota,83.00
Tennessee,87.00
Texas,88.00
Utah,80.00
Vermont,88.00
Virginia,83.00
Washington,77.00
West Virginia,79.00
Wisconsin,88.00
Wyoming,79.00
