state,value
Alabama,81.60
Alaska,61.40
Arizona,75.00
Arkansas,81.30
California,85.00
Colorado,80.10
Connecticut,91.20
Delaware,83.70
District of Columbia,69.90
Florida,69.00
Georgia,69.40
Hawaii,79.60
Idaho,86.60
Illinois,87.40
Indiana,89.90
Iowa,90.70
Kansas,90.20
Kentucky,82.80
Louisiana,64.80
Maine,87.20
Maryland,84.80
Massachusetts,79.90
Michigan,87.70
Minnesota,90.10
Mississippi,85.00
Missouri,85.80
Montana,84.80
Nebraska,88.00
Nevada,64.90
New Hampshire,86.60
New Jersey,91.30
New Mexico,85.00
New York,77.00
North Carolina,95.00
North Dakota,86.70
Ohio,86.20
Oklahoma,82.40
Oregon,81.70
Pennsylvania,87.60
Rhode Island,85.00
South Carolina,77.10
South Dakota,89.10
Tennessee,77.90
Texas,84.00
Utah,82.10
Vermont,87.20
Virginia,79.50
Washington,79.30
West Virginia,84.30
Wisconsin,88.80
Wyoming,81.50
