state,value
Alabama,72.00
Alaska,68.00
Arizona,78.00
Arkansas,81.00
California,76.00
Colorado,74.00
Connecticut,83.00
Delaware,78.00
District of Columbia,59.00
Florida,71.00
Georgia,67.00
Hawaii,80.00
Idaho,92.00
Illinois,84.00
Indiana,86.00
Iowa,88.00
Kansas,83.00
Kentucky,77.00
Louisiana,71.00
Maine,84.00
Maryland,83.00
Massachusetts,83.00
Michigan,74.00
Minnesota,77.00
Mississippi,75.00
Missouri,81.00
Montana,82.00
Nebraska,86.00
Nevada,62.00
New Hampshire,86.00
New Jersey,83.00
New Mexico,63.00
New York,77.00
North Carolina,78.00
North Dakota,86.00
Ohio,80.00
Oklahoma,82.00
Oregon,68.00
Pennsylvania,83.00
Rhode Island,77.00
South Carolina,74.00
South Dakota,83.00
Tennessee,86.00
Texas,86.00
Utah,76.00
Vermont,87.00
Virginia,82.00
Washington,76.00
West Virginia,78.00
Wisconsin,87.00
Wyoming,80.00
