state,value
Alabama,83.10
Alaska,63.00
Arizona,73.00
Arkansas,86.00
California,80.60
Colorado,75.00
Connecticut,92.40
Delaware,81.00
District of Columbia,75.50
Florida,69.80
Georgia,72.30
Hawaii,79.20
Idaho,88.30
Illinois,85.90
Indiana,76.50
Iowa,90.50
Kansas,89.70
Kentucky,83.70
Louisiana,65.00
Maine,82.00
Maryland,85.20
Massachusetts,80.90
Michigan,75.50
Minnesota,91.20
Mississippi,87.00
Missouri,86.20
Montana,84.60
Nebraska,88.40
Nevada,67.50
New Hampshire,85.80
New Jersey,92.80
New Mexico,86.80
New York,75.00
North Carolina,69.40
North Dakota,87.70
Ohio,86.90
Oklahoma,76.60
Oregon,81.40
Pennsylvania,89.90
Rhode Island,89.20
South Carolina,71.20
South Dakota,88.40
Tennessee,81.80
Texas,78.00
Utah,88.20
Vermont,86.00
Virginia,79.40
Washington,72.50
West Virginia,84.70
Wisconsin,89.60
Wyoming,79.50
