state,value
Alabama,81.60
Alaska,59.60
Arizona,70.00
Arkansas,83.00
California,83.20
Colorado,74.10
Connecticut,92.20
Delaware,84.00
District of Columbia,66.20
Florida,68.30
Georgia,72.30
Hawaii,79.20
Idaho,88.00
Illinois,87.80
Indiana,76.50
Iowa,90.80
Kansas,90.30
Kentucky,83.30
Louisiana,64.80
Maine,83.10
Maryland,85.40
Massachusetts,79.90
Michigan,85.80
Minnesota,90.80
Mississippi,87.00
Missouri,85.80
Montana,84.00
Nebraska,88.40
Nevada,67.50
New Hampshire,87.70
New Jersey,92.30
New Mexico,86.80
New York,77.00
North Carolina,70.30
North Dakota,85.90
Ohio,86.10
Oklahoma,84.60
Oregon,81.70
Pennsylvania,88.30
Rhode Island,85.00
South Carolina,73.90
South Dakota,93.20
Tennessee,80.80
Texas,80.40
Utah,83.00
Vermont,85.10
Virginia,79.00
Washington,70.40
West Virginia,84.60
Wisconsin,89.30
Wyoming,81.60
