state,value
Alabama,12.00
Alaska,11.70
Arizona,12.20
Arkansas,12.60
California,9.60
Colorado,11.30
Connecticut,10.40
Delaware,10.90
District of Columbia,9.80
Florida,12.50
Georgia,11.30
Hawaii,9.20
Idaho,11.10
Illinois,9.70
Indiana,12.00
Iowa,10.30
Kansas,11.50
Kentucky,12.00
Louisiana,11.30
Maine,12.70
Maryland,9.60
Massachusetts,9.60
Michigan,11.30
Minnesota,9.70
Mississippi,11.30
Missouri,11.80
Montana,12.50
Nebraska,9.80
Nevada,13.70
New Hampshire,11.90
New Jersey,8.30
New Mexico,12.00
New York,8.50
North Carolina,10.20
North Dakota,8.10
Ohio,11.90
Oklahoma,12.60
Oregon,12.40
Pennsylvania,9.10
Rhode Island,10.40
South Carolina,10.00
South Dakota,10.60
Tennessee,12.50
Texas,10.70
Utah,9.20
Vermont,11.60
Virginia,9.60
Washington,12.10
West Virginia,12.10
Wisconsin,10.00
Wyoming,11.60
